,epoch,train_loss_total,train_loss_1,train_loss_2,train_loss_3,val_loss,val_acc,val_iou
0,0,1684.018038,0.553032417,1.495479657,1681.969526,0.481900761,0.775558531,0.517683506
1,1,1186.258043,0.481740022,1.262497907,1184.513806,0.45244215,0.791952491,0.539465964
2,2,1010.314167,0.459543734,0.988630091,1008.865993,0.442198057,0.803240597,0.559571028
3,3,837.8359671,0.432724057,0.924158632,836.4790844,0.414464775,0.820558667,0.601864696
4,4,714.9247786,0.412178523,0.935469504,713.5771306,0.390113842,0.831113577,0.612866402
5,5,615.3812236,0.394263592,0.908400201,614.0785598,0.372989629,0.834918201,0.61880976
6,6,514.9518632,0.3779602,0.868362229,513.7055408,0.367987444,0.834880054,0.60917449
7,7,424.5037544,0.364180313,0.829702156,423.3098719,0.355979328,0.839654386,0.628934979
8,8,363.6677511,0.356596569,0.779778002,362.5313765,0.34529422,0.853671193,0.664923549
9,9,297.8700517,0.350073089,0.731298389,296.7886802,0.358940065,0.855271697,0.67150116
10,10,243.1232949,0.336544798,0.706900969,242.0798491,0.333601801,0.852893293,0.654816568
11,11,193.5769794,0.328593392,0.654473749,192.5939122,0.33095039,0.855650961,0.660467744
12,12,165.4010353,0.320632916,0.617321846,164.4630805,0.315192591,0.867029965,0.686755538
13,13,145.9873369,0.314671713,0.582367508,145.0902977,0.308092034,0.871461451,0.692712963
14,14,142.8767255,0.309953485,0.578943884,141.9878281,0.303924711,0.868056178,0.687315762
15,15,130.1369836,0.307028587,0.53865191,129.2913031,0.309953487,0.874706328,0.711228788
16,16,114.2545058,0.298892167,0.512444528,113.4431691,0.300122194,0.875847876,0.704881966
17,17,102.4846978,0.295772102,0.476487139,101.7124386,0.301978059,0.876365125,0.707233071
18,18,96.73721237,0.285870735,0.457275488,95.99406615,0.29166952,0.876381993,0.703733802
19,19,93.17106839,0.28497147,0.434718139,92.45137878,0.289212305,0.87935251,0.711567223
20,20,92.82702292,0.280903283,0.435636526,92.11048311,0.308226556,0.88065058,0.723253787
21,21,89.47612698,0.275888138,0.420467272,88.77977157,0.286273882,0.883561134,0.721111953
22,22,82.21121765,0.272120244,0.39998947,81.53910794,0.284803836,0.877152562,0.700350225
23,23,79.94637927,0.267967656,0.385243817,79.2931678,0.283659128,0.881256521,0.712667108
24,24,73.10583808,0.261693808,0.369419343,72.47472493,0.277510545,0.887325585,0.729296803
25,25,65.07892701,0.256842148,0.352675645,64.46940922,0.278465418,0.883729875,0.717329144
26,26,61.74659779,0.251069765,0.339405753,61.15612227,0.270301478,0.888500392,0.729350805
27,27,58.17535853,0.24636143,0.327479716,57.60151739,0.279269824,0.884802639,0.723183155
28,28,58.86715878,0.240621093,0.319259633,58.30727805,0.276856311,0.89050591,0.738725364
29,29,49.30927301,0.232772997,0.296500692,48.77999933,0.299906137,0.883993089,0.733333051
