,epoch,train_loss_total,train_loss_1,train_loss_2,train_loss_3,val_loss,val_acc,val_iou
0,0,2.212832486,0.540108252,1672.724234,,0.45602843,0.784211397,0.513794303
1,1,1.584102647,0.446747134,1137.355513,,0.406708396,0.819058836,0.598109484
2,2,1.344419352,0.410194212,934.2251405,,0.362234406,0.852180243,0.657274246
3,3,1.13837896,0.37655496,761.8240003,,0.355908356,0.850075066,0.649035215
4,4,0.981515864,0.349939702,631.5761618,,0.329921785,0.861065149,0.676713765
5,5,0.871613637,0.330074238,541.5393999,,0.297721432,0.873719752,0.702764571
6,6,0.785656805,0.317415861,468.2409442,,0.280957631,0.886133134,0.730442464
7,7,0.70343929,0.303939519,399.4997716,,0.29732188,0.878800929,0.714758575
8,8,0.623203019,0.288665666,334.5373529,,0.27363539,0.883420885,0.72063911
9,9,0.551662205,0.277463291,274.198914,,0.26800311,0.895340085,0.754402101
10,10,0.496708747,0.266913068,229.7956793,,0.255999281,0.900062203,0.76315558
11,11,0.44945695,0.256449358,193.0075927,,0.252896122,0.896533608,0.747209251
12,12,0.43407506,0.247364858,186.710202,,0.250604794,0.903300047,0.771859229
13,13,0.399609455,0.243829319,155.7801361,,0.247872322,0.897781909,0.754498899
14,14,0.359293489,0.231022996,128.2704927,,0.226874848,0.907568336,0.774866283
15,15,0.345582725,0.220922841,124.6598834,,0.238593822,0.904647708,0.773785889
16,16,0.315993929,0.210829189,105.1647395,,0.224081064,0.911839724,0.782317221
17,17,0.304813612,0.204719177,100.0944354,,0.233739613,0.909537137,0.783411562
18,18,0.293844942,0.199901048,93.94389382,,0.25627008,0.901618958,0.767314076
19,19,0.276588391,0.195222026,81.36636514,,0.223013579,0.912105262,0.785333395
20,20,0.230420295,0.164965457,65.45483743,,0.20835349,0.916774035,0.78949672
21,21,0.265310693,0.185922764,79.38792905,,0.218294183,0.916843414,0.797691286
22,22,0.25479612,0.178907109,75.8890108,,0.211874009,0.918908417,0.799631774
23,23,0.242887415,0.17381447,69.07294492,,0.213442267,0.917318046,0.796623766
24,24,0.21964157,0.160034562,59.6070072,,0.24077172,0.91272074,0.79526031
