,epoch,train_loss_total,train_loss_1,train_loss_2,train_loss_3,val_loss,val_acc,val_iou
0,0,1.187337825,0.523376856,0.663960969,,0.416275991,0.813869119,0.57235986
1,1,0.997981745,0.446375167,0.551606578,,0.394975966,0.8261078,0.596707642
2,2,0.89259697,0.409816803,0.482780167,,0.38598182,0.823443353,0.579418182
3,3,0.799610546,0.385889462,0.413721084,,0.356608742,0.841311753,0.63185209
4,4,0.712500659,0.363748064,0.348752595,,0.326792874,0.858630538,0.665871263
5,5,0.653201156,0.35103848,0.302162675,,0.342520856,0.855562985,0.66890949
6,6,0.570695775,0.337026833,0.233668942,,0.327697755,0.857995331,0.672156096
7,7,0.518156373,0.322761004,0.195395369,,0.320511823,0.864388347,0.679603398
8,8,0.491106407,0.316039085,0.175067322,,0.300202352,0.865486562,0.680963814
9,9,0.431925596,0.307882413,0.124043183,,0.294050185,0.870363176,0.690485537
10,10,0.407291219,0.298527933,0.108763285,,0.290017417,0.881651938,0.72183758
11,11,0.358555191,0.289686629,0.068868562,,0.299754911,0.882443488,0.729585052
12,12,0.375814556,0.289176235,0.08663832,,0.311757855,0.879137933,0.726053536
13,13,0.347587205,0.28378382,0.063803385,,0.307888172,0.870911181,0.69619149
14,14,0.340591495,0.279041836,0.061549659,,0.292276371,0.885956228,0.737480342
15,15,0.311899392,0.268586415,0.043312976,,0.258608595,0.89499855,0.749870896
16,16,0.302780581,0.263712999,0.039067582,,0.32454509,0.871251583,0.703900695
17,17,0.325448406,0.272879186,0.052569221,,0.271311841,0.885945022,0.728299141
18,18,0.31896401,0.264079032,0.054884978,,0.283731749,0.889673412,0.747246087
19,19,0.271550674,0.250449555,0.021101119,,0.264534687,0.88362956,0.719526589
