,epoch,train_loss_total,train_loss_1,train_loss_2,train_loss_3,val_loss,val_acc,val_iou
0,0,0.521804901,0.487722279,0.658135389,,0.395310662,0.830979466,0.62633723
1,1,0.41096917,0.382469793,0.524966679,,0.347311111,0.851067483,0.648007095
2,2,0.365417583,0.345283246,0.445954931,,0.297371138,0.870133221,0.693368554
3,3,0.32669904,0.317084889,0.365155643,,0.286847902,0.886324942,0.734349728
4,4,0.296592941,0.297306289,0.293739549,,0.310404749,0.880287588,0.72958982
5,5,0.276614363,0.287965179,0.231211098,,0.28006643,0.889428735,0.743528366
6,6,0.24760746,0.265215564,0.177175044,,0.262805839,0.895591855,0.750813127
7,7,0.235315669,0.258900725,0.140975445,,0.286562192,0.88641274,0.736150563
8,8,0.209599303,0.242009974,0.07995662,,0.250492027,0.901719689,0.765847921
9,9,0.20193728,0.235612386,0.067236857,,0.238891621,0.907292604,0.779139102
10,10,0.199050565,0.229437287,0.077503678,,0.243842555,0.902335823,0.763150513
11,11,0.178330753,0.213254817,0.038634497,,0.230526457,0.9110865,0.786745965
12,12,0.183470579,0.214248043,0.060360721,,0.232745191,0.899884522,0.756881535
13,13,0.162710154,0.198410879,0.019907255,,0.219174458,0.915005326,0.793499708
14,14,0.174381642,0.200604816,0.069488944,,0.223129192,0.911220014,0.784629703
15,15,0.151256066,0.181103445,0.031866549,,0.241379446,0.901345789,0.759223104
16,16,0.143067476,0.175325997,0.014033392,,0.22249816,0.915419698,0.794553518
17,17,0.145529664,0.173936732,0.031901392,,0.237559816,0.90721184,0.774102926
18,18,0.139866574,0.167358205,0.029900052,,0.216257521,0.910456061,0.77826494
19,19,0.133342759,0.157465894,0.036850218,,0.241552082,0.91102457,0.785004258
20,20,0.129555295,0.156094184,0.023399743,,0.21254354,0.919203043,0.803011537
21,21,0.108097688,0.134230143,0.003567869,,0.212348994,0.923200727,0.810920298
22,22,0.106915346,0.132885946,0.003032946,,0.228608898,0.918344319,0.800909936
23,23,0.098259362,0.122484605,0.001358393,,0.225909266,0.919952571,0.803947747
24,24,0.121652248,0.143038206,0.036108412,,0.231097674,0.917727411,0.803099096
25,25,0.096526425,0.119197,0.005844123,,0.229542907,0.91616714,0.792627096
26,26,0.083402365,0.104140953,0.000448011,,0.223069191,0.922619522,0.807960093
27,27,0.119361824,0.133529463,0.062691265,,0.233046537,0.915061831,0.794183016
28,28,0.094705129,0.115188755,0.012770629,,0.23695268,0.91971761,0.802363217
29,29,0.080959663,0.101038175,0.000645615,,0.232994847,0.923090041,0.8142488
