,epoch,train_loss_total,train_loss_1,train_loss_2,train_loss_3,val_loss,val_acc,val_iou
0,0,3.768543043,0.52895728,0.913949568,2325.636196,0.456620878,0.794546306,0.547204733
1,1,2.542840971,0.459092453,0.738812186,1344.936333,0.425963314,0.806908429,0.554886281
2,2,2.310152961,0.438034982,0.658456615,1213.661363,0.41574189,0.81660682,0.58485353
3,3,2.033481803,0.407399326,0.553422424,1072.660053,0.378556869,0.831502318,0.604291201
4,4,1.793090261,0.387889206,0.455229505,949.9715494,0.353309155,0.84346056,0.63893652
5,5,1.543561318,0.364688912,0.342839379,836.0330269,0.36944507,0.837698996,0.63108474
6,6,1.425450095,0.353368602,0.31132972,760.7517726,0.309476651,0.869768023,0.689699471
7,7,1.248990466,0.335347945,0.238068733,675.573788,0.308236005,0.868615746,0.68997407
8,8,1.100277182,0.321607416,0.162729714,615.940052,0.303039137,0.874392867,0.707507312
9,9,1.000654284,0.309269218,0.14010571,551.2793563,0.294204122,0.875573874,0.699708879
10,10,0.840782645,0.296236376,0.060748158,483.7981108,0.280165358,0.8858428,0.728711784
11,11,0.87650684,0.295341944,0.115305958,465.8589383,0.284862007,0.885011911,0.729498625
12,12,0.759325818,0.285698862,0.072346552,401.2804039,0.304528005,0.882845998,0.739244759
13,13,0.729514709,0.280411925,0.069696873,379.4059104,0.299821795,0.887671173,0.736129463
14,14,0.67765269,0.273153038,0.054890732,349.6089205,0.2791411,0.88778913,0.740178168
15,15,0.685833832,0.271014251,0.083637762,331.181818,0.257152234,0.891960919,0.736261129
16,16,0.670287798,0.268876743,0.08042193,320.9891246,0.286350976,0.88706398,0.742596328
17,17,0.536793045,0.253686189,0.031610444,251.4964127,0.247577817,0.898205459,0.75280416
18,18,0.550987659,0.254641889,0.049988248,246.3575218,0.25027187,0.900852442,0.759942472
19,19,0.513784015,0.242476208,0.042563391,228.7444166,0.267963909,0.896244287,0.758944452
