,epoch,train_loss_total,train_loss_1,train_loss_2,train_loss_3,val_loss,val_acc,val_iou
0,0,2.649210744,0.525609275,1.254745575,1977.774208,0.468454811,0.78569442,0.539760172
1,1,1.79781326,0.463592139,1.01085824,1224.7679,0.421308341,0.807639718,0.557704091
2,2,1.507627414,0.424231659,0.897909579,988.6601715,0.429528144,0.808122873,0.552713692
3,3,1.298659818,0.395778661,0.839885267,814.0598356,0.364905379,0.837377787,0.626929164
4,4,1.096267826,0.360425835,0.590987733,689.729612,0.358261319,0.852873683,0.674389005
5,5,0.950461812,0.337069081,0.501208263,580.5648952,0.328031202,0.866938353,0.697834373
6,6,0.815655194,0.322565392,0.351620592,487.278762,0.313479478,0.865513921,0.691781342
7,7,0.727187548,0.307949801,0.28839455,423.1487975,0.296817777,0.881551862,0.724383593
8,8,0.648034282,0.294774301,0.258988456,360.41715,0.304846509,0.881874084,0.72233808
9,9,0.581466446,0.286895745,0.197573032,312.4352437,0.275878998,0.889050066,0.742165506
10,10,0.508193606,0.275985165,0.142522073,258.9010595,0.273773372,0.886772037,0.731720924
11,11,0.474873164,0.26418476,0.150153543,233.4946476,0.26299025,0.895442843,0.755404592
12,12,0.429711893,0.256275089,0.094566651,205.7784914,0.257494404,0.895958424,0.748616219
13,13,0.408126079,0.253260445,0.112532928,183.0111371,0.236773341,0.904537141,0.76927489
14,14,0.364190281,0.242104448,0.069171999,156.6723231,0.248031785,0.904225767,0.770697236
15,15,0.354287181,0.235498422,0.120501182,141.7882067,0.264791953,0.899323106,0.771157861
16,16,0.313279724,0.224398289,0.042590664,125.24296,0.248909265,0.903635263,0.774223626
17,17,0.314701549,0.22276422,0.083063154,119.8775428,0.238276302,0.907544732,0.779612303
18,18,0.287583437,0.216824116,0.055755973,102.9729497,0.222520067,0.912088633,0.785717666
19,19,0.272162992,0.207377579,0.034451016,99.37072524,0.238959707,0.911313295,0.790759444
