,epoch,train_loss_total,train_loss_1,train_loss_2,train_loss_3,val_loss,val_acc,val_iou
0,0,1.211398687,0.502819,0.682612675,67262.0952,0.391271327,0.828769088,0.599395037
1,1,1.079652954,0.390469623,0.52928728,66141.97992,0.331607831,0.863072693,0.678255737
2,2,1.01364261,0.347149485,0.442532776,64741.64672,0.315884997,0.871052802,0.700819969
3,3,0.950556621,0.31174274,0.355412029,63008.00235,0.314723145,0.873180628,0.703302681
4,4,0.906605058,0.298562847,0.290604203,60963.39404,0.285257889,0.886464894,0.733917236
5,5,0.858700002,0.283488184,0.227095043,58649.04461,0.287133352,0.88692081,0.739966452
6,6,0.80994788,0.266798343,0.168004487,56290.83079,0.257234609,0.894505441,0.744633317
7,7,0.771020668,0.258018232,0.131309946,53834.4093,0.272352169,0.894991517,0.758661628
8,8,0.725327063,0.244431579,0.083463417,51308.91163,0.240277197,0.901091993,0.759879708
9,9,0.696111275,0.235901053,0.100708557,48724.8722,0.242284888,0.892369747,0.737570703
10,10,0.652600295,0.225062391,0.058295968,46089.11893,0.234650884,0.906611919,0.775550485
11,11,0.617563286,0.215002194,0.057643207,43403.28895,0.220914892,0.91111207,0.781774879
12,12,0.588736386,0.213604877,0.055066894,40683.91054,0.238187907,0.907181442,0.779482484
13,13,0.552841387,0.20361799,0.050305638,37988.58675,0.218483375,0.915801466,0.795165181
14,14,0.512441673,0.192573104,0.02676199,35303.07923,0.224546275,0.907064319,0.767591536
15,15,0.480547974,0.186520035,0.024643031,32640.33397,0.212239061,0.909580708,0.77289319
16,16,0.450282735,0.177115316,0.040135138,30056.34541,0.228880253,0.912105978,0.790382802
17,17,0.415054049,0.171724238,0.01431941,27481.07771,0.219735384,0.910887718,0.779707015
18,18,0.401252806,0.177201556,0.047631862,24996.51897,0.21004528,0.920121193,0.805114448
19,19,0.362571812,0.161478886,0.035058542,22637.69948,0.259599961,0.902860165,0.772148073
20,20,0.340467224,0.164686896,0.024507772,20381.61531,0.210771932,0.922150075,0.810043335
21,21,0.295153401,0.140693831,0.001969127,18220.45108,0.217069152,0.921665549,0.80879128
22,22,0.27283594,0.138432951,0.002700827,16154.94134,0.204538866,0.917261481,0.789087474
23,23,0.251385369,0.134934395,0.004110848,14261.56834,0.214509656,0.923000753,0.81069988
24,24,0.251980081,0.144467919,0.05483404,12543.89387,0.199961066,0.921068192,0.802759707
25,25,0.221532324,0.132964493,0.030295903,10910.15487,0.27781571,0.904068947,0.783713102
26,26,0.195831828,0.12434553,0.005330074,9528.938849,0.236845238,0.919107199,0.808523774
27,27,0.169251582,0.109221989,0.000621734,8174.964376,0.213479535,0.924026191,0.811918259
28,28,0.156142635,0.106215203,0.00071311,7102.785081,0.223229578,0.924394488,0.813789785
29,29,0.164582289,0.12298208,0.022563619,6168.390119,0.216832723,0.919335365,0.80169487
